Red_Value,Green_Value,Blue_Value,White_Value,label
0.85228,0.93623,0.97518,1.07569,blue
0.84021,0.91820,0.95291,1.06062,blue
0.83864,0.91728,0.95027,1.05981,blue
0.84021,0.91856,0.95192,1.06034,blue
0.83850,0.91752,0.95046,1.06003,blue
0.83960,0.91800,0.95131,1.06046,blue
0.83839,0.91624,0.95121,1.05889,blue
0.84153,0.91944,0.95230,1.06204,blue
0.83828,0.91832,0.95093,1.05994,blue
0.83928,0.91700,0.95050,1.05926,blue
1.35448,1.01591,0.96046,1.30929,red
1.33366,0.98797,0.92375,1.28465,red
1.32944,0.98457,0.92064,1.28150,red
1.33133,0.98541,0.92253,1.28304,red
1.32776,0.98377,0.91875,1.28094,red
1.32819,0.98249,0.91946,1.27998,red
1.32812,0.98449,0.91851,1.28060,red
1.32733,0.98301,0.91856,1.28051,red
1.32883,0.98473,0.91965,1.28119,red
1.33015,0.98509,0.92097,1.28171,red
0.89597,0.73237,0.57276,0.88819,yellow
0.88608,0.72149,0.56044,0.88108,yellow
0.88229,0.72001,0.55865,0.87945,yellow
0.87550,0.71414,0.55351,0.87494,yellow
0.87915,0.71610,0.55492,0.87759,yellow
0.87951,0.71862,0.55667,0.87729,yellow
0.88476,0.72193,0.56096,0.88062,yellow
0.88486,0.72357,0.55926,0.88219,yellow
0.88686,0.72529,0.56115,0.88294,yellow
0.88626,0.72489,0.55903,0.88281,yellow
1.02601,0.99984,0.96612,1.19920,black
0.99600,0.96062,0.91856,1.16453,black
0.99175,0.95758,0.91460,1.16172,black
0.99278,0.95802,0.91474,1.16168,black
0.99032,0.95610,0.91148,1.16030,black
0.99014,0.95458,0.91115,1.15946,black
0.99089,0.95650,0.91299,1.16156,black
0.99050,0.95722,0.91243,1.16076,black
0.99050,0.95554,0.91214,1.15884,black
0.98985,0.95518,0.91257,1.15894,black
1.07609,1.08740,1.09522,1.06071,white
1.06180,1.07157,1.07436,1.04894,white
1.06227,1.07181,1.07648,1.04935,white
1.06119,1.07253,1.07549,1.04897,white
1.06269,1.07149,1.07559,1.04935,white
1.06334,1.07185,1.07648,1.04981,white
1.06366,1.07388,1.07856,1.05107,white
1.06287,1.07332,1.07639,1.05006,white
1.06455,1.07544,1.07917,1.05231,white
1.06545,1.07464,1.07771,1.05141,white
0.91030,0.93819,0.85340,1.10308,green
0.91073,0.93595,0.85015,1.09739,green
0.90973,0.93639,0.84906,1.09644,green
0.90930,0.93619,0.84699,1.09579,green
0.90880,0.93611,0.84967,1.09675,green
0.90801,0.93347,0.84807,1.09604,green
0.90669,0.93239,0.84661,1.09431,green
0.90673,0.93219,0.84519,1.09400,green
0.90594,0.93091,0.84599,1.09369,green
0.90651,0.93103,0.84552,1.09421,green
